id,kon1,kon2,kon3,kon4,kon5,kon6,kon7,kon8,kon9,kon10,kon11,kon12,kon13,kon14,kon15,kon16,kon17,nas1,nas2,nas3,nas4,nas5,nas6,nas7,nas8,nas9,nas10,nas11,nas12,nas13,nas14,nas15,nas16,nas17,rwa1,rwa2,rwa3,rwa4,rwa5,rwa6,rwa7,rwa8,rwa9,rwa10,rwa11,rwa12,rwa13,rwa14,rwa15,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,sdo16,rz1,rz2,rz3,rz4,rz5,rz6,rz7,rz8,rz9,rz10,rz11,rz12,rz13,rz14,rz15,rz16,tjokowi,tprabowo,preferensi,gender
646,5,3,3,3,7,7,4,4,4,3,4,3,4,3,4,6,4,3,4,4,4,2,2,4,1,6,4,4,3,4,4,6,2,5,8,3,9,2,7,5,9,4,8,2,8,5,9,2,8,4,6,4,4,5,2,4,1,1,2,1,1,1,1,1,1,4,4,5,3,4,2,3,5,3,1,3,2,5,4,3,5,86,75,7,2
649,1,2,2,2,3,3,2,1,1,1,2,1,3,1,1,3,1,5,3,4,4,4,5,3,6,7,4,5,2,3,4,4,4,6,6,5,6,1,7,2,7,3,9,3,9,5,9,4,6,4,1,1,2,6,6,3,2,2,5,4,1,1,2,1,1,4,5,5,4,3,2,4,1,2,5,4,2,3,4,4,3,21,70,1,2
656,5,5,6,4,4,6,6,2,4,1,1,1,1,1,3,3,4,5,3,2,4,4,5,4,7,6,4,7,4,3,3,5,4,5,5,2,9,1,9,3,7,2,6,3,7,3,9,7,9,5,2,1,4,3,1,1,1,4,6,2,3,2,2,2,1,5,5,5,3,3,1,4,5,4,3,3,4,5,4,4,3,91,51,1,1
658,1,1,1,1,2,2,3,4,1,1,1,1,1,1,3,5,1,6,7,7,7,5,6,5,4,7,4,7,5,7,4,4,2,7,2,7,9,1,1,3,1,2,7,2,9,1,9,9,9,4,1,1,4,3,1,2,1,2,6,7,6,2,2,1,1,5,5,5,2,1,1,5,5,2,3,3,1,3,5,4,1,61,101,1,1
660,1,2,2,1,1,4,2,1,1,1,2,1,2,1,1,2,1,6,4,6,6,7,5,7,7,7,7,7,4,6,6,4,7,7,9,1,9,1,7,2,9,8,7,9,9,9,9,9,9,7,1,1,1,1,1,1,1,1,6,1,7,1,3,2,1,5,5,5,5,1,1,5,5,3,3,2,3,4,5,5,3,8,101,1,2
664,4,5,2,4,5,6,5,5,4,4,6,4,5,4,5,6,4,4,3,4,4,5,5,4,3,5,5,4,5,5,5,4,4,5,8,4,6,3,8,4,5,5,5,3,8,6,7,6,5,5,3,2,2,3,2,2,2,6,6,2,2,2,1,1,1,4,4,4,3,4,3,3,4,4,3,4,3,4,4,3,4,52,46,11,1
672,2,3,1,2,1,6,2,1,1,2,6,1,5,1,3,5,2,5,4,7,6,6,6,5,7,6,6,2,2,3,7,2,2,7,8,2,8,1,6,4,7,2,8,2,9,4,8,8,9,6,5,3,5,2,3,3,4,2,5,1,2,2,1,2,2,5,4,5,5,4,2,4,5,4,3,4,5,1,5,5,4,15,36,3,1
680,1,3,1,2,2,2,1,6,1,1,1,1,1,1,1,1,1,7,5,7,6,7,6,6,2,7,6,7,6,7,6,7,7,6,9,2,2,1,1,1,9,1,9,1,6,1,9,1,9,7,1,1,6,1,6,1,2,6,6,1,1,1,2,1,3,3,2,1,2,1,1,2,1,1,1,1,1,3,2,1,1,19,101,1,1
681,3,5,2,3,2,4,2,6,4,2,6,3,6,5,2,5,6,5,1,6,5,6,5,5,2,4,5,1,3,2,2,2,3,3,8,2,8,2,8,5,6,3,6,7,6,6,9,3,7,6,4,4,5,5,4,4,4,5,4,6,5,3,5,2,4,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,4,46,58,5,1
685,5,5,4,6,6,7,7,4,4,4,7,5,7,6,4,5,5,4,1,7,3,2,1,2,3,3,3,1,3,3,3,1,1,1,9,3,9,1,9,5,6,3,9,8,9,7,9,3,8,5,1,2,2,1,1,1,4,3,3,3,6,1,1,1,1,5,5,5,5,5,1,5,5,5,1,2,2,5,5,5,5,52,1,11,1
691,7,1,5,2,4,7,2,1,6,1,2,2,2,2,2,2,2,7,6,6,6,2,2,6,6,7,7,7,7,7,7,7,7,7,9,1,9,1,9,2,9,3,6,7,9,7,9,7,9,7,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,5,5,5,5,3,2,5,4,2,1,1,3,4,3,4,3,7,98,1,2
694,5,4,4,4,6,5,5,6,4,2,6,4,7,5,4,4,4,5,4,4,4,3,5,2,3,4,4,2,4,2,4,3,4,4,6,4,9,1,8,4,7,2,5,9,5,5,8,3,7,5,2,4,4,4,3,3,4,3,6,4,4,2,4,3,4,5,5,5,5,4,2,5,5,5,2,4,2,4,5,4,4,17,17,7,2
712,1,1,1,1,3,7,7,1,1,1,1,1,4,1,1,1,1,7,6,7,6,7,3,7,7,6,5,7,7,3,7,7,3,7,7,3,7,1,6,4,4,1,8,7,9,1,9,4,9,7,1,3,2,1,3,2,2,3,5,3,5,2,2,2,1,4,4,5,5,4,1,4,3,2,5,4,4,4,4,5,5,42,69,5,1
713,4,1,1,1,3,4,2,1,1,1,1,1,3,1,1,1,1,6,7,7,7,7,7,6,7,4,7,7,4,5,5,5,7,7,9,3,9,1,9,3,5,4,9,4,9,3,7,9,9,3,1,1,5,1,1,1,1,1,1,1,2,1,1,1,1,5,5,5,5,2,1,5,3,2,2,5,2,5,5,5,5,1,1,1,1
719,1,1,1,4,4,6,1,1,1,1,4,4,4,4,1,4,1,7,7,7,4,4,4,7,7,7,4,7,4,7,7,3,7,4,9,1,9,1,5,1,5,3,9,1,9,3,3,2,5,7,3,4,4,1,4,1,1,4,4,4,4,1,1,1,1,5,5,5,5,3,1,5,3,5,1,3,3,3,2,5,3,101,3,2,1
720,6,5,3,4,6,7,6,6,7,3,5,5,4,6,7,6,7,1,1,4,4,3,2,1,1,1,3,4,3,2,4,2,1,2,6,7,8,2,7,7,1,3,9,8,7,6,7,5,8,5,3,4,3,2,2,3,3,2,3,2,2,2,2,2,2,5,3,5,4,3,1,3,5,3,4,5,2,1,3,4,2,101,6,11,1
725,1,1,1,1,1,5,1,1,1,1,1,1,3,1,1,1,1,7,7,7,7,7,5,7,7,1,1,7,5,5,5,2,7,7,3,1,6,3,3,2,3,3,6,3,6,1,9,5,5,7,1,2,5,3,1,1,1,5,5,2,2,1,1,1,1,5,5,5,5,2,2,5,3,3,4,2,2,1,1,3,2,72,1,1,1
727,5,2,6,6,5,7,4,2,3,6,5,2,6,5,7,6,5,5,1,2,4,2,5,5,4,3,3,2,2,2,3,2,3,5,9,7,8,4,7,3,4,2,8,9,9,7,9,3,9,4,1,1,1,6,3,5,6,4,5,5,2,3,4,1,4,4,5,5,5,3,1,4,5,5,4,4,3,4,4,4,4,52,50,7,2
728,1,1,1,1,1,3,1,1,1,1,6,1,6,1,1,1,1,4,6,5,4,6,6,6,7,4,6,4,5,4,7,4,7,7,7,2,8,3,6,4,2,5,7,5,8,6,8,5,8,4,1,3,1,4,3,1,1,1,1,1,1,1,1,1,1,4,4,5,5,4,1,4,4,4,2,3,3,4,4,4,4,1,95,1,2
731,2,4,3,3,1,7,4,1,4,4,3,2,4,4,4,6,5,6,4,5,5,7,1,4,7,4,4,5,5,4,5,5,1,6,8,2,9,1,5,8,1,3,6,8,5,3,8,1,3,6,4,5,5,2,1,3,1,5,5,2,2,3,2,4,4,4,4,5,5,3,1,3,5,2,1,3,3,4,3,4,3,71,46,6,2
732,3,4,5,3,6,7,3,2,7,1,3,4,4,2,6,7,1,6,2,3,6,6,6,4,5,2,5,4,2,5,7,4,4,7,9,4,8,1,6,6,9,3,9,7,9,6,9,3,8,6,2,1,1,3,2,3,2,4,5,2,2,1,2,2,1,4,4,5,5,3,1,4,3,4,4,3,4,5,5,4,4,61,81,6,2
735,4,2,1,4,7,7,6,6,6,3,7,2,7,4,3,6,6,5,2,6,4,1,3,1,2,2,5,1,3,1,2,1,3,1,9,6,9,1,8,1,9,1,8,6,9,5,9,1,8,7,2,1,3,1,1,1,3,1,1,1,1,2,2,2,1,5,5,5,4,5,2,5,4,5,5,3,4,5,5,5,4,83,40,8,2
737,3,2,2,3,5,6,4,1,1,1,4,1,3,1,1,3,2,5,5,7,5,5,5,4,7,7,6,7,5,5,6,7,4,7,8,2,7,1,7,2,7,4,9,1,9,2,9,8,8,6,1,1,6,4,3,1,1,5,6,2,3,1,3,2,2,5,4,3,4,5,1,4,2,2,2,4,2,4,5,4,4,42,95,1,1
740,2,2,3,2,6,6,5,5,2,1,6,1,4,1,1,6,7,6,5,3,6,3,3,4,3,6,7,2,6,3,6,3,2,6,8,1,4,1,1,1,9,2,8,2,7,1,8,2,8,6,2,1,5,1,1,2,1,3,6,5,2,1,5,2,1,2,4,1,4,1,1,4,1,2,2,3,1,3,2,3,1,31,61,2,1
741,3,4,3,2,5,7,3,1,3,2,5,1,4,1,2,4,1,4,3,3,4,4,4,4,7,4,4,4,2,3,1,1,7,1,9,5,9,1,8,2,9,1,9,7,9,7,9,3,9,7,1,1,1,1,4,3,2,1,6,1,1,1,1,1,1,5,5,5,5,5,3,5,5,4,2,2,2,5,5,5,4,73,1,1,2
744,5,1,1,1,7,7,7,2,7,7,7,7,7,7,7,7,7,7,2,2,7,6,6,1,7,1,1,1,1,1,1,1,1,1,9,9,9,2,9,8,9,2,9,9,9,1,9,9,9,7,2,1,7,7,1,1,1,2,7,1,1,1,1,1,2,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,10,101,11,2
746,4,4,1,1,4,5,4,1,3,1,1,1,2,1,4,5,2,5,4,6,6,4,3,3,7,4,7,7,6,7,5,7,3,7,7,3,2,1,1,5,5,1,6,2,7,3,9,8,9,7,2,4,5,4,1,2,1,5,7,5,1,3,2,1,2,2,2,3,5,3,1,1,3,1,3,1,5,3,1,3,3,41,44,3,2
749,4,5,3,7,7,5,1,6,5,1,7,1,3,1,1,7,1,5,5,2,1,1,1,1,1,1,1,1,1,5,1,1,3,1,4,2,9,1,8,1,9,6,7,1,9,4,8,1,3,6,3,7,7,4,2,1,1,7,7,7,7,1,1,1,1,5,1,3,4,3,3,4,3,4,5,3,1,5,3,3,4,50,50,11,2
752,1,2,3,3,2,6,5,1,1,1,7,7,4,7,1,1,1,1,2,3,4,6,5,4,7,7,7,1,1,1,4,1,6,7,8,6,8,2,8,2,8,2,8,7,8,8,8,7,9,6,2,3,3,3,1,1,1,5,5,6,5,1,6,2,2,5,4,5,4,4,1,5,5,5,2,1,4,5,5,5,5,21,96,1,1
757,2,5,3,6,6,7,6,5,6,6,2,6,6,5,7,7,6,2,6,3,5,3,2,2,6,1,6,6,2,2,2,2,3,3,9,6,8,2,8,7,9,3,9,6,9,7,8,4,9,7,1,1,2,1,2,1,1,6,6,2,4,1,3,4,3,5,5,5,1,5,3,4,2,4,4,5,1,3,5,4,3,19,92,10,2
758,7,5,4,5,7,7,6,7,7,7,7,7,7,7,7,7,7,3,3,3,3,1,3,3,1,1,1,1,2,1,1,1,1,1,9,4,8,2,8,6,2,2,8,8,9,3,9,6,9,5,5,5,5,2,3,3,5,3,6,6,3,2,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,101,5,11,1
762,2,4,4,2,7,7,4,2,5,1,6,2,2,1,1,6,6,6,4,4,7,2,5,4,7,3,7,4,2,7,7,7,7,7,9,1,9,1,9,5,5,1,9,9,9,1,9,5,9,7,3,1,1,1,1,1,3,3,7,6,4,1,1,1,1,5,4,5,5,3,1,5,3,3,1,5,2,5,5,5,4,71,101,1,2
764,1,1,6,4,2,1,2,6,1,1,1,1,1,1,3,6,1,7,3,3,6,7,7,7,2,7,7,7,7,7,7,7,3,3,9,1,1,1,1,1,1,1,9,1,9,1,1,1,9,2,7,6,6,1,4,1,2,4,4,7,6,1,4,1,4,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,61,1,1
773,5,6,7,7,5,7,6,7,7,7,7,5,7,7,7,7,7,1,5,1,1,3,2,6,6,1,7,1,1,7,1,2,7,7,9,2,9,1,9,1,9,1,8,9,9,4,9,9,9,7,6,5,5,3,5,5,3,5,5,6,5,3,6,4,3,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,101,27,11,2
784,1,1,1,1,7,1,4,1,6,1,4,1,1,1,1,1,1,7,7,4,7,4,7,5,7,2,7,2,7,7,7,7,7,7,9,6,8,1,8,1,3,1,9,3,9,1,9,1,9,7,1,1,4,1,1,1,1,5,7,6,1,1,1,1,1,5,5,5,5,5,1,5,1,2,1,5,5,5,5,5,3,33,101,1,2
791,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,9,3,9,4,9,4,8,9,9,9,9,9,9,1,9,7,1,1,4,7,7,7,7,4,7,7,4,1,4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,101,12,11,2
792,5,6,2,2,1,7,2,2,5,2,6,2,6,3,5,6,3,5,2,5,4,7,6,6,7,3,2,5,2,2,3,2,5,7,7,4,9,2,9,7,6,3,9,7,8,9,8,3,8,7,3,2,5,1,5,3,6,7,5,2,2,3,3,3,2,4,4,5,5,4,1,5,5,3,5,4,5,5,5,5,5,37,56,3,1
794,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,2,6,1,1,2,2,2,2,1,1,1,1,1,1,6,1,4,8,2,9,2,8,8,8,1,8,8,8,2,8,3,9,6,6,4,6,2,6,6,2,6,6,6,6,2,2,2,2,5,5,5,5,5,4,5,5,4,4,4,4,5,5,5,4,91,1,11,2
800,4,3,3,4,4,7,4,2,4,7,1,1,7,1,1,4,4,6,6,7,6,7,5,4,6,2,7,6,5,2,7,5,6,6,9,2,5,1,7,5,9,1,9,7,9,5,9,9,7,4,2,2,2,2,2,1,1,4,4,5,3,1,1,1,1,5,5,5,3,4,2,3,1,1,1,3,1,4,5,3,3,52,51,3,2
802,7,7,1,7,7,1,7,7,7,1,7,7,7,7,7,7,7,1,1,7,7,7,7,1,7,7,1,7,7,7,1,1,7,7,9,9,9,9,9,4,9,1,9,9,9,9,9,9,9,7,1,7,7,1,1,7,1,4,7,7,4,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,101,1,11,2
803,1,1,1,1,3,3,3,1,5,1,7,1,6,1,3,4,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,9,1,7,2,9,1,9,8,9,4,9,3,9,7,1,1,6,4,1,1,1,1,1,7,7,1,1,1,1,5,5,5,5,1,1,1,5,1,5,3,5,1,5,5,3,1,101,1,1
806,3,3,2,1,5,7,1,1,5,2,4,1,4,3,2,4,3,4,3,4,5,5,3,6,5,3,5,6,6,4,6,3,5,7,9,3,8,1,4,3,8,1,8,6,8,7,6,3,9,7,1,1,5,2,3,1,1,2,6,1,2,1,2,1,1,4,4,5,4,5,1,3,4,1,5,4,4,5,4,5,3,35,4,6,2
807,1,1,1,3,2,3,1,1,1,1,1,1,4,1,1,1,4,4,7,7,6,7,7,6,7,5,7,7,5,3,6,7,5,7,9,1,7,1,4,4,2,1,9,5,7,3,9,5,6,7,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,3,1,5,3,1,1,3,1,5,5,3,2,1,51,1,2
810,3,2,3,5,6,6,5,3,2,3,4,3,4,3,4,5,3,5,6,5,3,3,3,3,5,5,5,4,6,5,5,4,3,5,9,7,8,1,6,5,7,1,5,5,4,3,7,2,8,6,2,2,2,3,3,2,2,2,5,2,2,2,2,5,2,5,4,5,5,4,1,5,3,5,5,4,3,5,5,5,5,32,62,4,2
811,5,3,4,6,6,7,7,6,7,4,6,6,6,6,6,6,7,5,4,1,1,1,1,1,1,1,1,1,3,1,1,4,6,1,9,7,9,3,8,5,8,5,6,9,8,5,8,8,7,5,5,6,1,5,7,6,5,3,5,5,6,3,3,2,3,4,5,5,5,4,4,5,4,5,4,5,4,5,4,5,4,80,6,11,1
815,5,2,3,3,4,6,3,5,3,4,2,3,6,4,2,2,3,3,3,3,5,3,4,3,6,3,2,6,3,2,2,2,4,6,8,2,8,1,8,2,9,4,8,7,8,4,9,5,7,4,2,2,2,4,2,2,2,2,4,2,4,2,2,2,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,91,1,1,2
818,3,3,5,4,6,6,6,6,3,6,7,4,5,6,3,6,5,6,3,3,4,2,2,3,3,5,3,1,3,2,2,1,2,3,8,2,9,3,7,5,8,6,7,6,8,9,9,6,7,3,1,1,4,2,6,4,4,6,4,4,2,3,3,2,2,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,71,23,10,2
821,6,5,2,6,5,7,5,6,7,7,7,7,6,7,7,7,7,4,3,5,3,5,3,4,3,1,1,1,1,2,1,1,1,5,9,2,8,3,9,2,2,2,5,8,9,6,9,7,9,5,5,5,5,4,4,5,3,5,5,6,5,5,5,4,5,5,5,5,5,5,3,5,5,5,4,4,5,5,5,5,5,97,15,11,2
822,5,4,6,6,7,5,6,6,5,6,6,4,6,5,6,6,6,2,3,3,2,2,3,2,4,1,3,3,2,2,3,3,2,2,8,6,9,4,8,3,8,1,6,1,7,3,8,2,8,4,5,5,6,7,7,4,6,2,1,2,3,3,5,4,4,4,5,4,5,4,5,5,3,4,4,3,4,5,4,3,4,84,8,10,1
826,1,1,1,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,1,2,4,4,3,4,4,2,4,1,1,1,1,1,1,1,7,4,9,1,2,4,7,4,6,2,6,5,4,5,5,4,4,1,1,4,4,4,1,1,2,1,1,4,4,3,2,4,5,5,5,5,2,4,3,2,1,2,1,3,3,4,5,21,101,1,1
835,4,4,3,2,3,5,3,4,5,4,7,5,7,7,5,7,6,4,5,5,7,5,5,5,3,3,1,1,5,3,1,5,1,2,9,4,9,3,9,4,6,4,6,4,6,4,9,6,6,5,3,2,6,2,3,6,3,6,6,7,5,2,3,2,3,5,5,5,4,5,2,5,5,5,4,4,5,4,5,5,5,81,52,11,1
838,7,7,6,7,7,7,6,7,7,7,7,7,7,7,6,7,7,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,9,8,9,2,9,8,2,1,8,9,9,8,9,9,9,5,2,4,6,6,1,2,2,5,6,7,6,6,7,2,6,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,101,1,11,1
839,5,2,3,3,5,7,7,6,5,4,6,6,5,7,5,5,6,4,3,4,4,2,5,2,1,2,2,1,2,3,1,2,3,2,9,3,9,3,8,7,5,4,7,5,8,7,8,3,7,6,5,3,1,3,4,4,5,2,6,5,4,4,5,4,4,5,5,5,5,4,4,5,5,4,3,4,5,5,4,5,5,87,59,11,2
853,7,6,7,7,7,7,6,6,7,7,7,7,5,7,7,7,7,1,2,4,4,2,6,2,2,1,4,4,2,2,1,2,1,2,9,5,1,2,9,1,2,2,9,7,9,5,9,2,8,7,1,1,4,1,6,2,6,1,6,2,7,4,4,1,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,3,101,1,11,2
854,5,3,7,7,5,6,5,4,5,3,7,7,7,7,5,5,5,5,1,1,2,3,3,2,3,5,4,2,2,1,4,5,3,3,9,6,8,3,8,3,9,4,7,4,7,5,7,5,9,5,5,4,4,3,3,4,3,4,5,5,5,5,5,5,5,4,4,5,4,5,2,4,5,5,4,4,5,2,4,5,5,83,10,11,2
856,6,4,2,5,7,7,4,7,2,2,7,1,7,3,3,4,4,3,1,6,5,4,4,3,2,7,6,1,2,1,1,5,3,1,9,5,9,1,9,3,9,2,6,6,2,5,9,5,9,6,3,2,2,4,2,4,4,1,6,2,2,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,39,26,11,1
857,3,3,3,2,3,6,6,3,6,2,3,2,4,2,2,3,6,6,4,5,6,6,5,4,6,3,6,6,6,6,6,6,6,6,8,2,8,2,8,2,8,2,7,2,8,3,8,7,8,6,2,3,3,2,2,2,2,6,5,6,6,2,2,2,2,4,4,4,4,4,2,4,2,2,2,2,2,4,4,3,4,1,70,2,2
860,2,2,1,1,2,5,2,1,2,1,1,1,2,1,2,6,2,5,4,7,6,6,3,7,7,6,6,7,6,6,7,6,2,6,8,3,8,1,7,1,9,3,8,3,9,3,8,1,9,6,2,2,5,2,2,2,2,2,6,5,5,1,1,2,2,5,4,5,4,4,2,4,4,4,4,2,5,4,5,4,4,92,71,1,1
861,2,4,1,2,5,4,3,3,4,2,6,4,4,4,3,5,1,6,4,6,6,4,4,4,5,4,4,4,6,4,6,3,4,5,8,2,9,1,8,2,3,3,8,4,8,5,8,4,5,6,4,2,4,2,3,2,2,3,5,4,4,2,2,1,2,5,5,5,5,4,2,4,4,4,3,3,3,4,5,5,3,16,86,2,1
865,1,1,2,1,6,7,4,7,6,4,7,4,7,7,7,7,7,7,5,6,7,1,1,1,4,1,1,2,1,1,1,1,1,1,5,9,9,5,9,5,8,3,5,9,9,5,9,3,8,4,7,1,4,1,4,4,4,4,6,2,4,1,1,1,1,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,67,55,11,2
866,5,3,3,5,3,6,2,2,6,2,5,1,3,5,3,4,3,3,4,5,4,7,5,5,4,3,5,3,3,6,4,5,3,4,9,3,9,1,7,4,4,2,9,3,8,2,8,6,9,7,2,5,5,2,1,2,3,2,5,3,5,2,5,4,5,5,5,5,5,3,2,4,5,4,1,3,4,3,5,5,4,31,62,4,1
867,3,1,2,3,3,7,6,6,3,5,3,5,6,4,1,7,4,5,5,7,7,6,3,2,6,5,3,6,4,3,3,5,4,4,4,4,4,4,5,3,7,4,7,3,3,6,6,7,6,5,6,5,2,2,3,6,1,4,4,2,5,4,4,1,5,4,4,4,2,2,3,4,3,3,2,3,4,3,2,3,3,95,41,11,2
878,5,7,7,7,7,7,7,5,7,1,5,4,7,4,7,7,7,1,4,1,4,3,2,2,6,5,5,3,4,1,2,2,2,3,9,6,9,1,9,9,9,6,1,9,9,6,9,9,9,1,2,2,2,1,1,1,6,7,7,7,7,1,2,2,2,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,13,85,1,2
879,5,4,5,4,5,5,4,4,5,4,5,5,4,5,5,4,4,5,4,5,4,5,5,4,5,4,4,5,5,4,4,5,4,5,7,3,8,2,6,2,8,3,8,7,7,2,7,3,8,4,4,5,4,4,4,3,4,5,4,4,3,3,4,4,5,4,3,4,3,3,4,3,3,4,3,4,4,4,3,4,4,86,75,7,1
889,2,2,4,3,1,6,3,3,2,1,1,4,5,3,5,6,2,6,6,5,6,7,3,5,4,6,5,6,3,3,6,6,3,6,8,2,6,2,3,3,6,4,8,7,6,6,8,6,7,7,3,1,5,5,3,2,2,5,6,5,3,3,2,1,3,4,4,4,1,4,1,5,4,2,2,2,1,2,5,4,4,14,68,1,1
891,4,4,4,2,5,6,4,6,5,3,4,3,2,2,2,5,4,4,3,5,5,4,4,5,4,2,6,3,6,4,4,6,3,4,6,2,8,2,6,5,6,3,6,4,6,5,6,2,7,4,4,3,1,4,5,2,3,4,3,2,5,3,3,4,1,4,3,3,4,3,1,4,2,3,2,2,1,3,3,4,3,81,8,1,2
